,giro,parejas,csol
97,0.0,0.0,11231392.026197325
96,1.0,81.0,11199245.500841863
95,1.0,83.0,11184691.464483833
94,1.0,85.0,11177946.209588684
93,1.0,1343.0,11151693.960894713
92,1.0,1495.0,11110743.975587383
91,1.0,1498.0,11110185.123459421
90,1.0,1508.0,11100258.798564505
89,1.0,1533.0,11058735.882441835
88,1.0,1550.0,11056700.738569845
87,1.0,1575.0,11051189.774817087
86,1.0,1610.0,11050306.146316197
85,1.0,1643.0,11048779.842983292
84,1.0,1679.0,11035942.78164012
83,1.0,1683.0,11033374.055976134
82,1.0,1752.0,11019438.265027119
81,1.0,1797.0,11008362.297956366
80,1.0,1832.0,11006946.553673688
79,1.0,1837.0,11005932.421775684
78,1.0,1864.0,10999405.113816742
77,1.0,1899.0,10985691.48717931
76,1.0,1947.0,10983688.447279144
75,1.0,1961.0,10977258.851369308
74,1.0,1965.0,10976799.612346875
73,1.0,2023.0,10975034.179104721
72,1.0,2026.0,10974634.233414337
71,1.0,2046.0,10958650.738230234
70,1.0,2072.0,10936972.252063004
69,1.0,2102.0,10923460.07331749
68,1.0,2103.0,10903816.663366865
67,1.0,2106.0,10884625.178260269
66,1.0,2300.0,10883839.327035714
65,1.0,2333.0,10877788.966210147
64,1.0,2338.0,10876547.640542638
63,1.0,2388.0,10876318.067012923
62,1.0,2441.0,10874351.012524957
61,1.0,2446.0,10867615.484277455
60,1.0,2454.0,10864508.641661804
59,1.0,2467.0,10854812.232393688
58,1.0,2468.0,10835817.940577937
57,1.0,2491.0,10831656.910801167
56,1.0,2492.0,10831143.011066554
55,1.0,2493.0,10808016.06207067
54,2.0,2662.0,10761895.286032295
53,2.0,2666.0,10726628.891555235
52,2.0,2729.0,10726628.891555233
51,2.0,2799.0,10706069.882128913
50,2.0,2862.0,10671905.68195316
49,2.0,3179.0,10671796.262103306
48,2.0,3290.0,10667467.164177546
47,2.0,3347.0,10659550.255911285
46,2.0,3352.0,10657311.095431535
45,2.0,3457.0,10633213.242949571
44,2.0,3462.0,10629341.597395262
43,2.0,3464.0,10623841.394238485
42,2.0,3485.0,10619609.151714155
41,2.0,3500.0,10619317.54093589
40,2.0,3511.0,10615681.849848974
39,2.0,3512.0,10614811.559193399
38,2.0,3567.0,10612766.810054544
37,2.0,3753.0,10606231.42746213
36,2.0,3874.0,10605213.787026819
35,2.0,3878.0,10605213.787026817
34,2.0,3892.0,10604247.524309766
33,2.0,3895.0,10603189.148862684
32,2.0,3943.0,10601457.392349195
31,2.0,3975.0,10597006.821778286
30,2.0,4023.0,10596263.623827513
29,2.0,4028.0,10596149.37654049
28,2.0,4029.0,10594980.51519794
27,2.0,4044.0,10594570.923714876
26,2.0,4111.0,10584916.268753843
25,2.0,4278.0,10582403.84616347
24,2.0,4293.0,10582403.846163468
23,2.0,4294.0,10572328.408969365
22,2.0,4414.0,10571039.782506179
21,2.0,4486.0,10564066.272740742
20,2.0,4514.0,10557736.185285019
19,2.0,4575.0,10555993.437843949
18,2.0,4761.0,10546190.239190035
17,2.0,4787.0,10540427.163116418
16,2.0,4991.0,10539209.434315993
15,3.0,5144.0,10537419.422407294
14,3.0,6003.0,10537305.450453978
13,3.0,6414.0,10534285.342167728
12,3.0,7070.0,10533248.842365455
11,3.0,7283.0,10530391.96393757
10,4.0,7832.0,10529098.38922505
9,4.0,8601.0,10528932.254060168
8,4.0,8980.0,10528829.869541582
7,4.0,9887.0,10526689.274216972
6,5.0,11511.0,10526331.629238702
5,5.0,11603.0,10525479.399383666
4,5.0,11638.0,10525479.399383664
3,5.0,12562.0,10517023.208161531
2,5.0,12563.0,10515344.03909775
1,6.0,15133.0,10515139.35432161
0,6.0,15166.0,10514807.001845889
